NOM_COMPLET;Nom commercial;DOSAGE;FORME;PRESENTATION;DCI;FABRIQUANT;PPV;PH;PFHT;UNITES_PAR_BOITE
ACULAR 0,005 FLACON DE 5 ML COLLYRE;ACULAR;0,005;COLLYRE;FLACON DE 5 ML;KETOROLAC TROMETHAMINE;AFRIC PHAR;36,30;22,70;21,64;1
ACUVAIL 0,0045 BOITE DE 30 RECIPIENTS UNIDOSE DE 0,4 ML COLLYRE EN SOLUTION;ACUVAIL;0,0045;COLLYRE EN SOLUTION;BOITE DE 30 RECIPIENTS UNIDOSE DE 0,4 ML;KETOROLAC TROMETHAMINE;AFRIC PHAR;127,50;79,70;75,90;30
AERRANE 1 FLACON DE 100 ML LIQUIDE POUR INHALATION;AERRANE;1;LIQUIDE POUR INHALATION;FLACON DE 100 ML;ISOFLURANE;AFRIC PHAR;338,00;225,00;214,53;1
AERRANE 1 FLACON DE 250 ML LIQUIDE POUR INHALATION;AERRANE;1;LIQUIDE POUR INHALATION;FLACON DE 250 ML;ISOFLURANE;AFRIC PHAR;756,00;502,00;478,86;1
ALGIK 500 MG / 50 MG BOITE DE 16 COMPRIME;ALGIK;500 MG / 50 MG;COMPRIME;BOITE DE 16;PARACETAMOL // CAFEINE;AFRIC PHAR;12,40;7,70;7,37;16
ALGIK 500 MG / 50 MG BOITE DE 20 SACHET;ALGIK;500 MG / 50 MG;SACHET;BOITE DE 20;PARACETAMOL // CAFEINE;AFRIC PHAR;20,40;12,80;12,16;20
ALPHAGAN 0,002 FLACON DE 5 ML COLLYRE;ALPHAGAN;0,002;COLLYRE;FLACON DE 5 ML;BRIMONIDINE (TARTRATE);AFRIC PHAR;85,50;53,40;50,88;1
AMOXICILLINE LLORENTE 250 MG FLACON DE 60 ML POUDRE POUR SUSPENTION BUVABLE;AMOXICILLINE LLORENTE;250 MG;POUDRE POUR SUSPENTION BUVABLE;FLACON DE 60 ML;AMOXICILLINE;AFRIC PHAR;22,80;14,30;13,60;1
AMOXICILLINE LLORENTE 500 MG BOITE DE 12 GELULE;AMOXICILLINE LLORENTE;500 MG;GELULE;BOITE DE 12;AMOXICILLINE;AFRIC PHAR;32,30;20,20;19,24;12
AMOXICILLINE LLORENTE 500 MG BOITE DE 24 GELULE;AMOXICILLINE LLORENTE;500 MG;GELULE;BOITE DE 24;AMOXICILLINE;AFRIC PHAR;56,90;35,50;33,86;24
AMPICILLINE LLORENTE 250 MG FLACON DE 60 ML POUDRE POUR SUSPENTION BUVABLE;AMPICILLINE LLORENTE;250 MG;POUDRE POUR SUSPENTION BUVABLE;FLACON DE 60 ML;AMPICILLINE;AFRIC PHAR;24,50;15,30;13,63;1
AMPICILLINE LLORENTE 500 MG BOITE DE 12 GELULE;AMPICILLINE LLORENTE;500 MG;GELULE;BOITE DE 12;AMPICILLINE;AFRIC PHAR;34,30;21,50;20,44;12
AMPICILLINE LLORENTE 500 MG BOITE DE 24 GELULE;AMPICILLINE LLORENTE;500 MG;GELULE;BOITE DE 24;AMPICILLINE;AFRIC PHAR;61,80;38,60;36,80;24
AMPICILLINE LLORENTE 500 MG BOITE DE 1 AMPOULE POUDRE POUR PREPARATION INJECTABLE;AMPICILLINE LLORENTE;500 MG;POUDRE POUR PREPARATION INJECTABLE;BOITE DE 1 AMPOULE;AMPICILLINE;AFRIC PHAR;9,90;6,20;5,51;1
BELMAZOL 20 MG BOITE DE 14 GELULE;BELMAZOL;20 MG;GELULE;BOITE DE 14;OMEPRAZOLE;AFRIC PHAR;45,80;28,60;27,26;14
BELMAZOL 20 MG BOITE DE 28 GELULE;BELMAZOL;20 MG;GELULE;BOITE DE 28;OMEPRAZOLE;AFRIC PHAR;89,70;56,10;53,40;28
