ID,Code,Label,"Is Active","Sort Order"
"8e2deee0-25f8-435e-839b-0d80829f1150","ANTIBIOTIQUES","Antibiotiques","OUI","10"
"f6a59d1e-7326-4e52-9270-f14e4026afb6","ANTIVIRAUX_ANTIFONGIQUES","Antiviraux / Antifongiques","OUI","20"
"be67b4de-14de-4ce2-aea5-c7c53a8e7beb","ANTALGIQUES","Antalgiques","OUI","30"
"6118a9ab-24b6-470c-8579-fe3febcaa624","OPIOIDES","Opioïdes","OUI","40"
"6722e72b-49a7-4b98-b1db-27dfc13cdbdf","SEDATIFS","Sédatifs","OUI","50"
"c9fb8124-b376-4533-9b49-865fd4281860","VASOACTIFS","Vasoactifs","OUI","60"
"1faa1388-25db-4e32-a39e-c71421b07fb3","SOLUTES_ELECTROLYTES","Solutés / Electrolytes","OUI","70"
"52d3f2bd-bc53-43c4-a90c-f85a4538a8b3","DIURETIQUES","Diurétiques","OUI","80"
"e8f93e94-edaa-4e4e-9bc2-f14e0ff3f594","ANTICOAGULANTS_ANTIAGREGANTS","Anticoagulants / Antiagrégants","OUI","90"
"a1fa1944-a6d5-48e5-859c-04b23b21f1ca","ANTIEPILEPTIQUES","Antiépileptiques","OUI","100"
"245c7044-3528-44e0-aec5-c0d3af09ca66","GASTRO_PROTECTION","Gastro-protection","OUI","110"
"3c5e891b-009d-4fed-999a-79762c3fa7a5","CORTICOIDES_ANTIINFLAMMATOIRES","Corticoïdes / Anti-inflammatoires","OUI","120"
"1f3f1b0f-f2fd-4fae-ba99-a104a2df83f9","INSULINE_ANTIDIABETIQUES","Insuline / Antidiabétiques","OUI","130"
"f406eb20-462b-486d-bf11-8e4c76aafdce","NUTRITION","Nutrition","OUI","140"
"7a702013-29ac-47a8-a046-b57f309ee5bd","PRODUITS_SANGUINS","Produits sanguins","OUI","150"
"351637c4-4a61-4596-8c30-daa855402800","AUTRES_SUPPORT","Autres (Support)","OUI","999"
