ID,Name,"ATC Code","Therapeutic Class","Care Category",Synonyms
"2d8e3d52-79ac-4002-96ba-eb615ae3f544","perborate de sodium","A01AB19","préparations stomatologiques > préparations stomatologiques > anti-infectieux et antiseptiques pour traitement oral local","",""
"5416129a-3609-4f14-a050-bbf7adf434e2","chlortétracycline","A01AB21","préparations stomatologiques > préparations stomatologiques > anti-infectieux et antiseptiques pour traitement oral local","",""
"af6f7530-fb85-4134-8042-b268369024a8","doxycycline","A01AB22","préparations stomatologiques > préparations stomatologiques > anti-infectieux et antiseptiques pour traitement oral local","",""
"2db3cd9a-84b4-49bf-b076-0ca553964b80","minocycline","A01AB23","préparations stomatologiques > préparations stomatologiques > anti-infectieux et antiseptiques pour traitement oral local","",""
"23b6547f-df42-4a49-9251-ead265810517","octénidine","A01AB24","préparations stomatologiques > préparations stomatologiques > anti-infectieux et antiseptiques pour traitement oral local","",""
"71c17242-3e97-4ca4-847f-d9ae48665989","oxytétracycline","A01AB25","préparations stomatologiques > préparations stomatologiques > anti-infectieux et antiseptiques pour traitement oral local","",""
"88c2826e-ce4e-4860-ad86-d54412f217da","chlorhexidine et cétylpyridinium","A01AB53","préparations stomatologiques > préparations stomatologiques > anti-infectieux et antiseptiques pour traitement oral local","",""
"ad607ac1-8335-4aec-87ef-31bb0a90081d","triamcinolone","A01AC01","préparations stomatologiques > préparations stomatologiques > corticoïdes pour traitement oral local","",""
"dfee761c-fed9-44b0-aad5-213aa3c6e3a3","dexaméthasone","A01AC02","préparations stomatologiques > préparations stomatologiques > corticoïdes pour traitement oral local","",""
"faa4648c-3652-4f23-bc1e-a139f19b24e7","hydrocortisone","A01AC03","préparations stomatologiques > préparations stomatologiques > corticoïdes pour traitement oral local","",""
"02107464-651b-455d-91b9-eb655054166d","prednisolone","A01AC04","préparations stomatologiques > préparations stomatologiques > corticoïdes pour traitement oral local","",""
"b49e0a35-0426-4002-9c8d-905dc4159cc4","prednisolone en association","A01AC54","préparations stomatologiques > préparations stomatologiques > corticoïdes pour traitement oral local","",""
"1a245cf8-437a-4f44-9cab-f70525dd8362","épinéphrine","A01AD01","préparations stomatologiques > préparations stomatologiques > autres médicaments pour traitement oral local","",""
"50b3936b-9eab-4592-98e2-0677a0d3fa02","benzydamine","A01AD02","préparations stomatologiques > préparations stomatologiques > autres médicaments pour traitement oral local","",""
"5c189917-6318-43cf-b4db-dd19f174747e","acide acétylsalicylique","A01AD05","préparations stomatologiques > préparations stomatologiques > autres médicaments pour traitement oral local","",""
"8bfd169e-d5a6-4c94-9066-97270f1f5816","adrénalone","A01AD06","préparations stomatologiques > préparations stomatologiques > autres médicaments pour traitement oral local","",""
"75152628-4c8c-40be-b98f-dcf6b89747b4","amlexanox","A01AD07","préparations stomatologiques > préparations stomatologiques > autres médicaments pour traitement oral local","",""
"48399800-aa3d-4295-8362-746305dcec86","bécaplermine","A01AD08","préparations stomatologiques > préparations stomatologiques > autres médicaments pour traitement oral local","",""
"bd1043af-16d6-4c25-acb7-7c04fa7744d1","divers (autres médicaments pour traitement oral local)","A01AD11","préparations stomatologiques > préparations stomatologiques > autres médicaments pour traitement oral local","",""
"d914fe9c-0cbb-4b4e-a01b-defb2fa57710","carbonate de magnésium","A02AA01","médicaments pour les troubles de l'acidité > anti-acides > composés à base de magnésium","",""
"16c397f7-2f4e-4848-bbb3-52eb4c4be45b","oxyde de magnésium","A02AA02","médicaments pour les troubles de l'acidité > anti-acides > composés à base de magnésium","",""
"1b8abea7-24d1-4099-adb2-602de2000a4d","peroxyde de magnésium","A02AA03","médicaments pour les troubles de l'acidité > anti-acides > composés à base de magnésium","",""
"b9cf0ff1-5393-4ecd-9777-eed78277764d","hydroxyde de magnésium","A02AA04","médicaments pour les troubles de l'acidité > anti-acides > composés à base de magnésium","",""
"cad87060-217b-4343-80cc-efb5b6293ab6","silicate de magnésium","A02AA05","médicaments pour les troubles de l'acidité > anti-acides > composés à base de magnésium","",""
"55fc90b8-ddd4-44ab-9c55-d5f48aada8d6","associations (composés à base de magnésium)","A02AA10","médicaments pour les troubles de l'acidité > anti-acides > composés à base de magnésium","",""
"58915c39-52ac-4270-8db7-e012134b6dca","hydroxyde d'aluminium","A02AB01","médicaments pour les troubles de l'acidité > anti-acides > composés à base d'aluminium","",""
"37e1e4a0-5bb2-4074-9bf1-d5cd84b76749","phosphate d'aluminium","A02AB03","médicaments pour les troubles de l'acidité > anti-acides > composés à base d'aluminium","",""
"a3283c0b-daa6-487b-86f3-6331ecf2fe4e","carbonate de dihydroxyaluminium et de sodium","A02AB04","médicaments pour les troubles de l'acidité > anti-acides > composés à base d'aluminium","",""
"e346cefe-d538-4d2e-b764-f6543c04ee03","acétoacétate d'aluminium","A02AB05","médicaments pour les troubles de l'acidité > anti-acides > composés à base d'aluminium","",""
"ad1efd33-0377-4b50-9c8d-cd8b75294f28","aloglutamol","A02AB06","médicaments pour les troubles de l'acidité > anti-acides > composés à base d'aluminium","",""
"6b30fdbe-e48a-40fb-969f-328d2411842b","glycinate d'aluminium","A02AB07","médicaments pour les troubles de l'acidité > anti-acides > composés à base d'aluminium","",""
"0f3bce5e-217d-4967-9200-8ddfa3740009","associations (composés à base d'aluminium)","A02AB10","médicaments pour les troubles de l'acidité > anti-acides > composés à base d'aluminium","",""
"4ea4dbed-4313-4f7c-b603-da71550c10ad","carbonate de calcium","A02AC01","médicaments pour les troubles de l'acidité > anti-acides > composés à base de calcium","",""
"9b5f0ccf-5d4a-48f4-a5c8-989a7210085f","silicate de calcium","A02AC02","médicaments pour les troubles de l'acidité > anti-acides > composés à base de calcium","",""
"c6e0fcce-e768-440a-82e9-995019380249","associations (composés à base de calcium)","A02AC10","médicaments pour les troubles de l'acidité > anti-acides > composés à base de calcium","",""
"c63905b0-89d6-47e3-a114-3dedc1a17388","associations de sels","A02AD01","médicaments pour les troubles de l'acidité > anti-acides > associations et complexes de composés à base d'aluminium, de calcium et de magnésium","",""
"1ccd18a3-7e52-421e-a045-3be9e6220210","magaldrate","A02AD02","médicaments pour les troubles de l'acidité > anti-acides > associations et complexes de composés à base d'aluminium, de calcium et de magnésium","",""
"9931fb48-ec1a-43cf-8bdb-9608371770df","almagate","A02AD03","médicaments pour les troubles de l'acidité > anti-acides > associations et complexes de composés à base d'aluminium, de calcium et de magnésium","",""
"3fa8268b-f712-4808-bfcd-06d9ccaf98ad","hydrotalcite","A02AD04","médicaments pour les troubles de l'acidité > anti-acides > associations et complexes de composés à base d'aluminium, de calcium et de magnésium","",""
"32071b6b-e745-4acb-843b-8d984cc98b62","néomycine","A01AB08","préparations stomatologiques > préparations stomatologiques > anti-infectieux et antiseptiques pour traitement oral local","",""
"02ff2046-2652-4a68-9f76-786e673818fe","almasilate","A02AD05","médicaments pour les troubles de l'acidité > anti-acides > associations et complexes de composés à base d'aluminium, de calcium et de magnésium","",""
"21323173-1d31-4de2-89da-e56383b58b5a","magaldrate et antiflatulents","A02AF01","médicaments pour les troubles de l'acidité > anti-acides > anti-acides avec antiflatulents","",""
"480626f7-70f8-40a6-b7c4-658b71fa8c0c","associations de sels et antiflatulents","A02AF02","médicaments pour les troubles de l'acidité > anti-acides > anti-acides avec antiflatulents","",""
"82e83401-1e48-4a37-b582-37194a7e015f","cimétidine","A02BA01","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > antagonistes des récepteurs H2","",""
"955d727c-ff8b-4776-af34-a7b2dd8ecbe0","ranitidine","A02BA02","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > antagonistes des récepteurs H2","",""
"daee43a6-9072-4f70-af50-a3b1ab9a0ae3","famotidine","A02BA03","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > antagonistes des récepteurs H2","",""
"6951567d-bde8-4f74-8bb7-61978a3483de","nizatidine","A02BA04","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > antagonistes des récepteurs H2","",""
"9158e95e-717c-4868-b0c6-17f2727898a5","nipérotidine","A02BA05","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > antagonistes des récepteurs H2","",""
"ebb8f179-b048-4d01-b202-a336f519219a","roxatidine","A02BA06","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > antagonistes des récepteurs H2","",""
"ce5ac5ff-c545-4cc0-a6f2-562fb048c0eb","ranitidine bismuth citrate","A02BA07","médicaments pour les troubles de l'acidité > médicaments pour l'ulcère peptique et le reflux gastro-oesophagien (RGO) > antagonistes des récepteurs H2","",""
